SampleID,Tissue,Factor,Condition,Replicate,bamReads,ControlID,bamControl,Peaks,PeakCaller
395141_02-SDL_H2AUB_REP1_S22,SDL,H2AUB,wt,1,../results/mergedBam/H2AUB_MERGED1_picard.dupRemove.bam,,,../results/macs2/H2AUB_MERGED1/H2AUB_MERGED1.broad.q0.05_peaks.broadPeak,macs2
395141_06-SDL_H2AUB_REP2_S7,SDL,H2AUB,wt,2,../results/mergedBam/H2AUB_MERGED2_picard.dupRemove.bam,,,../results/macs2/H2AUB_MERGED2/H2AUB_MERGED2.broad.q0.05_peaks.broadPeak,macs2
395141_10-SDL_H2AUB_REP3_S13,SDL,H2AUB,wt,3,../results/mergedBam/H2AUB_MERGED3_picard.dupRemove.bam,,,../results/macs2/H2AUB_MERGED3/H2AUB_MERGED3.broad.q0.05_peaks.broadPeak,macs2
336931_09,SDL,H3K27ME3,wt,1,../data_fromOtherProjects/bam_duplicationRemoved_new_datasets/406231_28-JS_WT_H3k27me3_rep1_S3_picard.dupRemove.bam,,,../data_fromOtherProjects/bed_broadpeaks_new_datasets/406231_28-JS_WT_H3k27me3_rep1_S3.broad.q0.05_peaks.broadPeak,macs2
336931_10,SDL,H3K27ME3,wt,2,../data_fromOtherProjects/bam_duplicationRemoved_new_datasets/406231_34-JS_WT_H3k27me3_rep2_S27_picard.dupRemove.bam,,,../data_fromOtherProjects/bed_broadpeaks_new_datasets/406231_34-JS_WT_H3k27me3_rep2_S27.broad.q0.05_peaks.broadPeak,macs2
351531_45,SDL,H3K27ME3,wt,3,../data_fromOtherProjects/bam_duplicationRemoved_new_datasets/406231_38-JS_WT_H3k27me3_rep3_S10_picard.dupRemove.bam,,,../data_fromOtherProjects/bed_broadpeaks_new_datasets/406231_38-JS_WT_H3k27me3_rep3_S10.broad.q0.05_peaks.broadPeak,macs2
395141_16-MG_H2AUB_REP1_S1,MG,H2AUB,wt,1,../data_fromOtherProjects/bam_duplicationRemoved_H3K4me3_and_H2Aub/395141_16-MG_H2AUB_REP1_S1_picard.dupRemove.bam,,,../data_fromOtherProjects/bed_broadpeaks_H3K4me3_and_H2Aub/395141_16-MG_H2AUB_REP1_S1.broad.q0.05_peaks.broadPeak,macs2
395141_22-MG_H2AUB_REP2_S3,MG,H2AUB,wt,2,../data_fromOtherProjects/bam_duplicationRemoved_H3K4me3_and_H2Aub/395141_22-MG_H2AUB_REP2_S3_picard.dupRemove.bam,,,../data_fromOtherProjects/bed_broadpeaks_H3K4me3_and_H2Aub/395141_22-MG_H2AUB_REP2_S3.broad.q0.05_peaks.broadPeak,macs2
395141_28-MG_H2AUB_REP3_S12,MG,H2AUB,wt,3,../data_fromOtherProjects/bam_duplicationRemoved_H3K4me3_and_H2Aub/395141_28-MG_H2AUB_REP3_S12_picard.dupRemove.bam,,,../data_fromOtherProjects/bed_broadpeaks_H3K4me3_and_H2Aub/395141_28-MG_H2AUB_REP3_S12.broad.q0.05_peaks.broadPeak,macs2
365361_07-Rep1_07_S16,MG,H3K27ME3,wt,1,../data_fromOtherProjects/bam_deplicationRemoved_H3K27me3/365361_07-Rep1_07_S16_picard.dupRemove.bam,,,../data_fromOtherProjects/bed_broadpeaks_H3K27me3/365361_07-Rep1_07_S16.broad.q0.05_peaks.broadPeak,macs2
