number	sample	bam_suffix	bai_suffix	location	tissue	hist
1	395141_01-SDL_K4ME3_REP1_S29	_picard.dupRemove.bam	_picard.dupRemove.bam.bai	p010_fgczo39514_H2AUBandH3K4me3_inEmbryoAndSeedlings/results/picard_rm	SDL	H3K4ME3
2	395141_02-SDL_H2AUB_REP1_S22	_picard.dupRemove.bam	_picard.dupRemove.bam.bai	p010_fgczo39514_H2AUBandH3K4me3_inEmbryoAndSeedlings/results/picard_rm	SDL	H2AUB
3	395141_03-SDL_H3_REP1_S20	_picard.dupRemove.bam	_picard.dupRemove.bam.bai	p010_fgczo39514_H2AUBandH3K4me3_inEmbryoAndSeedlings/results/picard_rm	SDL	H3
4	395141_05-SDL_K4ME3_REP2_S2	_picard.dupRemove.bam	_picard.dupRemove.bam.bai	p010_fgczo39514_H2AUBandH3K4me3_inEmbryoAndSeedlings/results/picard_rm	SDL	H3K4ME3
5	395141_06-SDL_H2AUB_REP2_S7	_picard.dupRemove.bam	_picard.dupRemove.bam.bai	p010_fgczo39514_H2AUBandH3K4me3_inEmbryoAndSeedlings/results/picard_rm	SDL	H2AUB
6	395141_07-SDL_H3_REP2_S10	_picard.dupRemove.bam	_picard.dupRemove.bam.bai	p010_fgczo39514_H2AUBandH3K4me3_inEmbryoAndSeedlings/results/picard_rm	SDL	H3
7	395141_09-SDL_K4ME3_REP3_S25	_picard.dupRemove.bam	_picard.dupRemove.bam.bai	p010_fgczo39514_H2AUBandH3K4me3_inEmbryoAndSeedlings/results/picard_rm	SDL	H3K4ME3
8	395141_10-SDL_H2AUB_REP3_S13	_picard.dupRemove.bam	_picard.dupRemove.bam.bai	p010_fgczo39514_H2AUBandH3K4me3_inEmbryoAndSeedlings/results/picard_rm	SDL	H2AUB
9	395141_11-SDL_H3_REP3_S15	_picard.dupRemove.bam	_picard.dupRemove.bam.bai	p010_fgczo39514_H2AUBandH3K4me3_inEmbryoAndSeedlings/results/picard_rm	SDL	H3
10	395141_12-WS_K4ME3_REP1_S11	_picard.dupRemove.bam	_picard.dupRemove.bam.bai	p010_fgczo39514_H2AUBandH3K4me3_inEmbryoAndSeedlings/results/picard_rm	WS	H3K4ME3
11	395141_13-WS_H2AUB_REP1_S16	_picard.dupRemove.bam	_picard.dupRemove.bam.bai	p010_fgczo39514_H2AUBandH3K4me3_inEmbryoAndSeedlings/results/picard_rm	WS	H2AUB
